ID,GEO,Technical_2008,Technical_2009,Technical_2010,Technical_2011,Technical_2012,Technical_2013,Technical_2014,Technical_2015,Technical_2016,Technical_2017,Technical_2018,Technical_2019,Technical_2020,NonTechnical_2008,NonTechnical_2009,NonTechnical_2010,NonTechnical_2011,NonTechnical_2012,NonTechnical_2013,NonTechnical_2014,NonTechnical_2015,NonTechnical_2016,NonTechnical_2017,NonTechnical_2018,NonTechnical_2019,NonTechnical_2020,hrst_2010,hrst_2011,hrst_2012,hrst_2013,hrst_2014,hrst_2015,hrst_2016,hrst_2017,hrst_2018,hrst_2019,hrst_2020,number_of_pop_2010,number_of_pop_2011,number_of_pop_2012,number_of_pop_2013,number_of_pop_2014,number_of_pop_2015,number_of_pop_2016,number_of_pop_2017,number_of_pop_2018,number_of_pop_2019,number_of_pop_2020,number_of_pop_2021,inflation_2010,inflation_2011,inflation_2012,inflation_2013,inflation_2014,inflation_2015,inflation_2016,inflation_2017,inflation_2018,inflation_2019,inflation_2020,retention_2010,retention_2011,retention_2012,retention_2013,retention_2014,retention_2015,retention_2016,retention_2017,retention_2018,retention_2019,retention_2020,hub_2010,hub_2011,hub_2012,hub_2013,hub_2014,hub_2015,hub_2016,hub_2017,hub_2018,hub_2019,hub_2020,AverageWage_2010,AverageWage_2011,AverageWage_2012,AverageWage_2013,AverageWage_2014,AverageWage_2015,AverageWage_2016,AverageWage_2017,AverageWage_2018,AverageWage_2019,AverageWage_2020,correlation_2010,correlation_2011,correlation_2012,correlation_2013,correlation_2014,correlation_2015,correlation_2016,correlation_2017,correlation_2018,correlation_2019,correlation_2020
FIN,Finland,60 474,62986,65 498,68010,70 522,72135.25,73748.5,75361.75,76 975,78622.78444,80305.84258,82024.92952,83 781,47 519,51639.16251,54287.5,57071.65866,61 056,63187.25,65318.5,67449.75,69 581,71779.59238,74047.65499,76387.38293,78801.04065,51.4,52.6,53.6,54.6,55.6,56.5,56.9,57.7,58.4,59.9,61.6,4 025.1,4 038.2,4 055.1,4 067.1,4 075.8,4 081.3,4 090.9,4 096.7,4 105.8,4 109.2,4 112.0,4 104.5,0.322930666,2.62353335,2.97397234,2.55829451,1.631623337,1.616746497,0.087425458,0.819262897,2.002209227,1.495412396,1.56091815,1,1.023346304,1.019011407,1.018656716,1.018315018,1.01618705,1.007079646,1.014059754,1.012131716,1.025684932,1.028380634,1,0.423870039,0.431928405,0.43985597,0.447854945,0.455048561,0.458221239,0.464642179,0.470236395,0.482277055,0.495885142,59892.75,62540.82933,65789,67661.25,69533.5,71405.75,73278,75201.18841,77176.74879,79206.15623,81291.02033,,,,,,,,,,,
FRA,France,68 950,70540.75,72 132,73722.25,75 313,75183.5,75054,74924.5,74 795,76267.5,77740,79212.5,80 685,71 386,67762.19533,70290,72912.10203,69 194,67429.75,65665.5,63901.25,62 137,66966.5,71796,76625.5,81 455,43.8,47.4,48.1,48.9,49.1,50,50.6,50.9,52.2,53.5,55.2,44 865.9,45 039.0,45 205.3,45 426.3,46 943.5,47 165.5,47 403.4,47 609.7,47 775.8,47 907.6,48 054.6,48 007.7,1.069697476,0.947960225,1.161825032,0.778100531,0.576944233,1.138248785,0.522559343,0.521577263,0.992224566,1.278592146,2.524649139,1,1.082191781,1.014767932,1.016632017,1.00408998,1.018329939,1.012,1.005928854,1.025540275,1.024904215,1.031775701,1,0.382446575,0.388094521,0.394249896,0.39581227,0.40305499,0.407836,0.410217787,0.420676621,0.431074713,0.444695327,71211,73317.17602,72253.5,71306.625,70359.75,69412.875,68466,71617,74768,77919,81070,,,,,,,,,,,
DEU,Germany,69 252,69844.75,70 438,71030.25,71 623,73802.5,75982,78161.5,80 341,80960.5,81580,82199.5,82 819,42 003,44432.81155,50677,57798.69064,59 351,60148,60945,61742,62 539,65174.75,67810.5,70446.25,73 082,45.7,44.8,46.4,46.8,47,47.7,48.4,48.7,49.3,50.3,50.8,61 922.1,61 423.5,61 430.2,61 375.5,61 363.9,61 544.1,62 061.3,62 053.9,61 986.9,61 929.9,62 060.2,62 050.7,0.645275771,1.069483745,1.496488838,1.959391683,1.877939854,1.853678824,1.327752223,1.503738989,1.974717161,2.055056553,1.596822656,1,0.980306346,1.035714286,1.00862069,1.004273504,1.014893617,1.014675052,1.006198347,1.012320329,1.020283976,1.009940358,1,0.361340919,0.374245952,0.377425862,0.379012821,0.384644681,0.390244025,0.392618595,0.397436961,0.405460852,0.409429821,60557.5,64414.47032,65487,66975.25,68463.5,69951.75,71440,73067.625,74695.25,76322.875,77950.5,,,,,,,,,,,
GRC,Greece,33 367,36015.75,38 665,41313.25,43 962,42731.5,41501,40270.5,39 040,37847.09899,36690.64304,35569.52375,34 483,34 214,37683.09073,30533.5,24740.39693,26 853,27999.5,29146,30292.5,31 439,32628.89233,33863.8193,35145.48535,36475.65945,32.5,33.7,34.3,35.1,35.4,36.1,37.4,38.5,39.2,39.3,40.7,8 367.2,8 306.4,8 246.5,8 183.7,8 134.8,8 086.3,8 047.1,8 012.1,7 974.9,7 931.1,7 892.8,7 862.2,-0.176615534,0.959017981,-0.275142403,-2.045624207,-1.938754621,-0.293730433,-0.578580752,0.285406259,-0.165244042,0.248490586,-0.837548131,1,1.036923077,1.017804154,1.023323615,1.008547009,1.019774011,1.03601108,1.029411765,1.018181818,1.00255102,1.03562341,1,0.272710769,0.277566154,0.283869971,0.286225641,0.291859322,0.302308033,0.311088235,0.316654545,0.317407653,0.32870687,34599.25,33026.82347,35407.5,35365.5,35323.5,35281.5,35239.5,35237.99566,35277.23117,35357.50455,35479.32973,,,,,,,,,,,
HUN,Hungary,26 570,26200,25 830,25460,25 090,25937.75,26785.5,27633.25,28 481,29234.5,29988,30741.5,31 495,18 732,21083.00417,19750.5,18502.21378,20 769,22041.25,23313.5,24585.75,25 858,26710.25,27562.5,28414.75,29 267,33,34.6,35.6,36,36.3,36.7,36.3,36.5,37.3,38.2,39.9,7 662.7,7 649.3,7 635.8,7 609.7,7 573.3,7 537.9,7 507.5,7 460.4,7 432.2,7 419.0,7 408.7,7 359.1,2.533695914,1.933820705,2.893200601,2.818841517,3.697461127,2.776554175,1.320878951,4.029336507,4.846481988,4.765536616,6.314024973,1,1.048484848,1.028901734,1.011235955,1.008333333,1.011019284,0.989100817,1.005509642,1.021917808,1.024128686,1.044502618,1,0.279945455,0.288036364,0.291033708,0.293425,0.296633058,0.293367302,0.295016529,0.301465753,0.308672386,0.322333508,22790.25,21981.10689,22929.5,23989.5,25049.5,26109.5,27169.5,27972.375,28775.25,29578.125,30381,,,,,,,,,,,
ISL,Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6.368854465,3.096669582,3.4408803,2.124541839,4.141651945,6.054520348,2.260860867,0.936992856,2.652950624,4.589430895,3.214351922,1,:,:,:,:,:,:,:,:,:,:,1,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,,,,,,,,,,,
IRL,Ireland,64 739,65362.5,65 986,66609.5,67 233,69040.25,70847.5,72654.75,74 462,76907.25,79352.5,81797.75,84 243,44 172,51331.75,58491.5,65651.25,72 811,76649.5,80488,84326.5,88 165,95662.5,103160,110657.5,118 155,47.5,50.3,51.9,52.8,53.1,54.2,54.9,56.6,57.2,58,60.8,3 374.2,3 369.5,3 372.1,3 383.4,3 404.5,3 436.5,3 479.2,3 523.0,3 570.4,3 625.0,3 669.8,3 701.9,-2.975073593,1.496868576,2.284052686,0.9422247,-0.056811643,7.700188121,0.705182878,0.925858589,0.711919255,4.2247889,-1.212120401,1,1.058947368,1.031809145,1.01734104,1.005681818,1.020715631,1.012915129,1.030965392,1.010600707,1.013986014,1.048275862,1,0.405576842,0.418477895,0.425452023,0.427817045,0.436662147,0.442238745,0.455892896,0.460631802,0.467041958,0.489544828,62238.75,66130.375,70022,72844.875,75667.75,78490.625,81313.5,86284.875,91256.25,96227.625,101199,,,,,,,,,,,
ITA,Italy,53 115,54002.75,54 891,55778.25,56 666,56617.5,56569,56520.5,56 472,56423.54702,56375.13562,56326.76575,56 278,43 760,44822.25,45884.5,46946.75,48 009,47960.75,47912.5,47864.25,47 816,47767.79864,47719.64587,47671.54164,47623.4859,34,34.6,34.7,34.8,35,35.5,35.7,36.3,37,37.3,38,45 175.5,45 260.8,45 382.1,45 556.5,45 626.4,45 520.1,45 371.6,45 277.5,45 194.5,45 108.5,45 057.7,44 390.7,0.436360538,1.607176983,1.54730144,1.147610159,0.913241262,0.931863575,1.13435002,0.726343221,1.068132047,0.920178589,1.375677856,1,1.017647059,1.002890173,1.002881844,1.005747126,1.014285714,1.005633803,1.016806723,1.019283747,1.008108108,1.018766756,1,0.279852941,0.280661765,0.281408646,0.283017241,0.287042857,0.288616901,0.29345042,0.299057851,0.301424324,0.3070563,50387.75,51362.5,52337.5,52289.125,52240.75,52192.375,52144,52095.67283,52047.39075,51999.1537,51950.74295,,,,,,,,,,,
LVA,Latvia,23 305,23433,23 561,23689,23 817,25655.5,27494,29332.5,31 171,33231.25,35291.5,37351.75,39 412,18 283,17870.75,17458.5,17046.25,16 634,17851.25,19068.5,20285.75,21 503,23246.75,24990.5,26734.25,28 478,38,38.2,40.1,41.2,40.7,42.4,43.3,44.4,44.4,46.8,47.7,1 635.3,1 595.3,1 560.0,1 536.1,1 495.8,1 472.6,1 450.3,1 423.4,1 410.8,1 399.5,1 390.1,1 381.4,-0.344610811,6.53308884,3.638772799,1.715649513,1.917664771,0.115936805,0.864382928,2.947266421,3.893608357,2.57514231,-0.119652959,1,1.005263158,1.04973822,1.027431421,0.987864078,1.041769042,1.021226415,1.025404157,1,1.054054054,1.019230769,1,0.308615789,0.323965789,0.332682294,0.328563592,0.342325307,0.349463679,0.358276212,0.3582,0.377562162,0.384657692,20509.75,20367.625,20225.5,21753.375,23281.25,24809.125,26337,28239,30141,32043,33945,,,,,,,,,,,
LTU,Lithuania,16 638,17991.5,19 345,20698.5,22 052,23209.5,24367,25524.5,26 682,29389.75,32097.5,34805.25,37 513,14 188,15346.75,16505.5,17664.25,18 823,19489,20155,20821,21 487,23625.5,25764,27902.5,30 041,42.7,43.6,43.9,45.6,46.5,48.2,49.1,49.4,50.5,51.9,52.4,2 426.4,2 327.6,2 290.7,2 261.9,2 237.5,2 211.5,2 175.2,2 129.1,2 102.3,2 090.7,2 094.6,2 094.7,2.53348366,5.349952298,2.734253494,1.281332227,0.833592064,0.063682791,1.576252772,4.24343179,3.526212136,2.654234194,1.459281574,1,1.021077283,1.006880734,1.038724374,1.019736842,1.03655914,1.018672199,1.00610998,1.022267206,1.027722772,1.009633911,1,0.351863232,0.354284309,0.367916173,0.375059211,0.388709677,0.395856017,0.39821833,0.407066802,0.418283168,0.422228902,17925.25,19181.375,20437.5,21349.25,22261,23172.75,24084.5,26507.625,28930.75,31353.875,33777,,,,,,,,,,,
LUX,Luxembourg,65 864,68124.5,70 385,72645.5,74 906,75375.75,75845.5,76315.25,76 785,77350.5,77916,78481.5,79 047,44149.31495,51239.5341,59468.41662,69018.82769,80 103,92967.25,105831.5,118695.75,131 560,125303.5,119047,112790.5,106 534,56.2,57.3,58.9,61.1,64.5,58.8,59.6,57.6,61.2,63.7,65,378.1,389.6,399.5,403.3,410.3,425.1,436.2,452.9,458.2,467.6,477.7,484.4,4.648418462,3.44946168,3.265977318,2.276024495,2.796702201,2.219180657,-1.107616926,2.142903997,1.731701858,0.577087746,4.271360594,1,1.019572954,1.027923211,1.037351443,1.055646481,0.911627907,1.013605442,0.966442953,1.0625,1.040849673,1.020408163,1,0.461458719,0.474344128,0.491912054,0.519166939,0.473134884,0.479840816,0.463699329,0.4927875,0.512722549,0.523061224,64926.70831,70832.16385,77504.5,84171.5,90838.5,97505.5,104172.5,101327,98481.5,95636,92790.5,,,,,,,,,,,
MLT,Malta,29 341,30390,31 439,32488,33 537,34800.25,36063.5,37326.75,38 590,39374.5,40159,40943.5,41 728,48443.41815,46668.42662,44958.47168,43311.17035,41724.22699,40195.43005,38722.649,37303.8314,35 937,34620.25,33303.5,31986.75,30 670,32.6,35.3,37.6,39,39.5,40.2,40.3,42.8,46.1,47.4,47.6,321,322.1,326.1,331,338.5,347.4,355.6,367,381.3,396.7,402.8,404.5,3.165694218,1.123902047,2.146095494,2.276171591,2.342729375,4.220118792,1.997017517,2.098196586,2.217385277,2.374298383,1.4762733,1,1.082822086,1.065155807,1.037234043,1.012820513,1.017721519,1.002487562,1.062034739,1.077102804,1.028199566,1.004219409,1,0.285648466,0.304260123,0.315111702,0.319038462,0.324653165,0.325407463,0.345586104,0.372031308,0.382284599,0.383812658,38198.73584,37899.58518,37630.6135,37497.84003,37393.0745,37315.2907,37263.5,36997.375,36731.25,36465.125,36199,,,,,,,,,,,
MNE,Montenegro,8478.969917,8733.303475,8995.265973,9265.086248,9 543,9829.25,10115.5,10401.75,10 688,10982.12743,11284.34907,11594.88768,11 914,8478.969917,8733.303475,8995.265973,9265.086248,9 543,9829.25,10115.5,10401.75,10 688,10982.12743,11284.34907,11594.88768,11 914,35,35.6,35.9,37.5,38.8,37.1,38.1,37.2,36.8,38.8,38.4,:,:,:,:,:,:,:,:,:,:,:,:,1.604202698,1.202703549,0.177017,2.066970904,1.03622832,2.219572933,5.101095417,3.824946071,3.226106405,2.022142505,-0.175604638,1,1.017142857,1.008426966,1.044568245,1.034666667,0.956185567,1.026954178,0.976377953,0.989247312,1.054347826,0.989690722,1,0.287851429,0.290277143,0.303133705,0.313504,0.299668557,0.307880863,0.300529134,0.297367742,0.313563043,0.310169072,8995.265973,9265.086248,9543,9829.25,10115.5,10401.75,10688,10982.12743,11284.34907,11594.88768,11914,,,,,,,,,,,
NLD,Netherlands,68 813,69955,71 097,72239,73 381,73828.25,74275.5,74722.75,75 170,77062,78954,80846,82 738,60 925,61592.5,62260,62927.5,63 595,64404.75,65214.5,66024.25,66 834,70041,73248,76455,79 662,50.9,51.8,52.1,52.7,52.8,53.6,54.6,55.3,56.9,58.7,60.8,12 412.4,12 452.2,12 540.7,12 637.6,12 664.6,12 685.2,12 768.0,12 870.1,12 936.5,13 015.4,13 094.3,13 146.6,0.940413732,0.193652087,1.446109567,1.279987054,0.253185732,0.772727977,0.454667289,1.260707158,2.437090745,3.032733792,2.291701276,1,1.017681729,1.005791506,1.011516315,1.001897533,1.015151515,1.018656716,1.012820513,1.028933092,1.031634446,1.035775128,1,0.417453045,0.419870727,0.424634549,0.425405693,0.431845455,0.43985597,0.445438462,0.458286799,0.472694903,0.489507325,66678.5,67583.25,68488,69116.5,69745,70373.5,71002,73551.5,76101,78650.5,81200,,,,,,,,,,,
MKD,NorthMacedonia,12551.78293,12677.19505,12803.86023,12931.791,13 061,13191.5,13322,13452.5,13 583,13714.76595,13847.81014,13982.14497,14 118,8326.279103,8484.634211,8646.001029,8810.436836,8 978,9148.75,9319.5,9490.25,9 661,9834.82216,10011.77175,10191.90505,10375.27933,24.1,27,27.6,26.4,26.8,28.6,30.9,31.4,31.7,32.5,35.4,:,:,:,:,:,:,:,:,:,:,:,:,2.041283023,3.72217234,1.002998267,4.483293154,1.446967858,2.003420846,3.465252857,2.807027035,3.926155289,0.868168685,0.857544357,1,1.12033195,1.022222222,0.956521739,1.015151515,1.067164179,1.08041958,1.01618123,1.00955414,1.025236593,1.089230769,1,0.219360996,0.224235685,0.214069565,0.217445455,0.232001493,0.250441259,0.254248544,0.256628662,0.26307571,0.286467692,10724.93063,10871.11392,11019.5,11170.125,11320.75,11471.375,11622,11774.79406,11929.79095,12087.02501,12246.63967,,,,,,,,,,,
NOR,Norway,95 949,100654,105 359,110064,114 769,110959.25,107149.5,103339.75,99 530,95860.70123,92326.67578,88922.93663,85 645,81 661,87571,93481,99391,105 301,102007.25,98713.5,95419.75,92 126,88945.94543,85875.66168,82911.35963,80049.38094,51.4,54.6,55.4,56.3,58.7,59.7,59.3,59.1,59.2,59.3,60.5,:,:,:,:,:,:,:,:,:,:,:,:,5.968211523,6.716706053,3.342920579,2.555195583,0.290603973,-2.854865013,-1.474253826,3.951104549,6.651608266,-0.472598024,-3.604605158,1,1.062256809,1.014652015,1.016245487,1.042628774,1.017035775,0.993299832,0.996627319,1.001692047,1.001689189,1.020236088,1,0.43998677,0.446433463,0.453448736,0.472727886,0.480651107,0.477379899,0.475789882,0.476605076,0.477405068,0.487060708,99420,104727.5,110035,106483.25,102931.5,99379.75,95828,92403.32333,89101.16873,85917.14813,82847.19047,,,,,,,,,,,
